,DESPC,DESSC,DESWC,DESPL,DESPLd,DESSL,DESSLd,DESWLlt,DESWLltd,Difficulty
0,434,365,8090,1.7695852534562213,1.4661766679134174,22.16986301369863,16.114102433629643,4.092319714221925,3.2257934911781008,1
1,65,128,2602,2.753846153846154,2.1051641209965934,20.3671875,21.248849635682486,4.594557823129252,3.7331349980041106,1
2,106,157,3957,2.2641509433962264,1.8899030962102656,25.29936305732484,22.587258955221362,4.768195300022815,3.6699470866368005,1
3,200,131,2493,0.925,3.3420614895599994,19.290076335877863,24.812422568839,4.56074147633234,6.259480831327259,1
4,560,309,13819,1.4892857142857143,1.07232700426765,45.006472491909385,70.5117215130095,4.918344445177899,4.056665041802516,1
5,456,556,13312,2.1535087719298245,8.896240875988424,24.10251798561151,27.910737615392538,4.816617959617428,4.039791799837263,1
6,303,319,1821,1.9141914191419143,1.7460648607689744,5.981191222570533,6.738251623724448,12.551286225985022,17.985247332060197,1
7,303,319,1821,1.9141914191419143,1.7460648607689744,5.981191222570533,6.728940711218622,12.546076196678607,17.993171668922542,1
8,20,549,9353,28.4,60.274704478744646,17.096539162112933,16.00716389167749,3.9879723458660856,4.19420893908175,1
9,4,4,329,1.75,1.299038105676658,83.0,73.0376615178772,4.236363636363636,3.2271135867110146,1
10,4,4,260,1.75,1.299038105676658,65.75,80.13543223818039,4.145161290322581,3.2191301880374175,1
11,70,35,1213,1.3714285714285714,0.8136589066227509,35.0,22.28644687440585,4.251991310644461,3.37670031446124,1
12,33,2644,65834,80.84848484848484,325.6268659540205,24.90998487140696,16.881904665750625,4.150784125999541,4.023193474517246,1
13,115,158,4382,2.1913043478260867,1.773699901943677,27.835443037974684,32.34385288954342,4.7520644095788604,3.664310807002974,1
14,16,50,831,3.8125,5.83329613083375,16.62,26.70497331958974,3.782563025210084,2.895953157667778,1
15,571,646,17077,2.0893169877408058,3.398888464033107,26.561919504643964,25.734264277911834,4.307943925233645,4.109928867375033,1
16,10,36,614,4.1,4.52658811910251,17.36111111111111,32.6387234038358,4.028530670470756,2.971435429475372,1
17,99,163,3981,2.4646464646464645,2.9723069682313423,24.52760736196319,21.842805074877333,4.72463768115942,3.6727292421462763,1
18,1860,121,4724,0.4010752688172043,0.6755315905407208,39.082644628099175,82.88093488983189,5.102181175083514,5.709803853804483,1
19,241,415,15534,2.5767634854771786,3.314015174816744,37.6144578313253,36.03413085051222,4.520152442545329,4.965282325436006,1
20,184,300,3668,2.5652173913043477,2.180966817053585,12.263333333333334,12.148552268571848,4.937872535534159,4.378215094461697,1
21,3,1272,39101,424.6666666666667,529.1013345496515,31.013364779874212,31.183429380418367,4.327802044400414,4.571661457983696,1
22,430,574,13618,2.202325581395349,2.14117859004378,23.810104529616726,22.897373728933488,4.270854038295899,3.374961184298891,1
23,29,566,12915,20.310344827586206,24.650807426484953,22.962897526501767,27.67109387298067,4.351797329681616,4.085448709149392,1
24,2301,1663,35388,1.564102564102564,1.0694677893075166,21.45219482862297,16.243189969281197,4.446051563134389,3.598165533946974,1
25,416,367,8726,1.6802884615384615,1.7100370872781865,23.888283378746593,21.90270905186627,4.423181154888472,4.019883410505588,1
26,492,631,16702,2.2560975609756095,2.2204389202614734,26.624405705229794,20.76340130707329,4.511580527557366,4.249676720722184,1
27,369,1,301,0.12466124661246612,0.3303344066328726,301.0,0.0,10.035143769968052,19.913921264359267,1
28,2864,124,3529,0.17702513966480446,0.49623169871476175,28.483870967741936,25.332143252985965,6.625906234896085,14.019706689259955,1
29,15,29,623,2.8,2.039607805437114,21.517241379310345,20.419092974646382,3.747354497354497,3.281893711662382,1
30,13,31,687,3.3076923076923075,2.78414785705444,22.161290322580644,16.65028678275455,3.8146766169154227,3.300344248575438,1
31,211,100,1918,0.6350710900473934,3.3984248330155995,19.28,14.09331756542795,4.039026629935721,5.524205136946563,1
32,118,140,3758,1.9491525423728813,1.7748117953558382,26.92142857142857,29.033740927494996,4.8118214716525936,3.7629140963454155,1
33,129,159,4030,2.0697674418604652,1.6291246829934218,25.427672955974842,22.42933252412893,4.694866071428572,3.6377817122024467,1
34,1640,504,15434,0.9146341463414634,0.8889733666645505,30.658730158730158,33.36633192791817,4.346600525240735,3.570103624264061,1
35,28,34,856,2.0,2.220038609702865,25.264705882352942,38.53288040066975,3.883022774327122,2.831679259023233,1
36,34,299,6185,9.705882352941176,8.31911127806014,20.97324414715719,15.339609902159363,4.373206442166911,3.214801437706902,1
37,4,7,355,2.5,2.598076211353316,51.285714285714285,88.77695049265608,4.413366336633663,3.2601584658162115,1
38,3728,622,19375,0.6062231759656652,0.795968857616611,31.168810289389068,75.84858917987967,4.634114007954043,4.561479010567415,1
39,4006,2228,44709,1.0896155766350475,1.6704853247385187,20.149461400359066,20.250154922758675,4.061995316537468,3.1584661910824092,1
40,4,8,264,2.75,2.0463381929681126,33.0,42.77849927241488,4.2125435540069684,3.3495721517858703,1
41,239,1029,20124,4.941422594142259,8.261211455508665,19.87074829931973,19.48026859297955,4.32163643315349,3.6411409958399736,1
42,15,25,758,2.6,4.409081537009721,30.4,17.7426040929735,4.920731707317073,3.5770009854583846,1
43,893,2511,57547,3.6976483762597985,5.376357878074678,23.145360414177617,17.96037436057426,4.607585603023181,4.057819766644579,1
44,948,900,21804,1.8565400843881856,1.567230838631565,24.355555555555554,18.405983997428127,4.40490029870025,3.6013026821507306,1
45,660,1318,40372,2.953030303030303,3.7338630453601223,30.876327769347498,24.37228396488416,4.848124367826202,4.474249672577544,1
46,41,120,2382,3.682926829268293,2.7447424188556484,19.975,18.62903759367796,4.76750184229919,3.952196560160437,1
47,18,73,1890,5.0,3.929942040850532,26.19178082191781,21.61978896545628,4.221971066907776,3.2772720130108426,1
48,10,72,1755,8.0,8.160882305241266,24.680555555555557,17.41313870878418,4.317444717444717,3.3741997476974497,1
49,7,60,1541,9.428571428571429,4.271404682207444,26.016666666666666,20.243922270372632,4.285245901639344,3.423887609180157,1
50,10,74,1853,8.3,6.1489836558572835,25.41891891891892,18.443490580072133,4.3277700509967545,3.4700698258353624,1
51,12,111,2681,10.166666666666666,7.7977917101930565,24.38738738738739,19.118488373267375,4.3171974522292995,3.363539581326901,1
52,14,79,1984,6.5,7.058429610857401,25.481012658227847,17.071599599878564,4.390854184641933,3.4080986445990225,1
53,14,52,1570,4.642857142857143,3.8472094312843517,30.51923076923077,24.859985135690355,4.487095002745744,3.6461369304253513,1
54,10,69,1830,7.8,4.833218389437829,26.855072463768117,22.72410159083723,4.406971267074894,3.508174749513823,1
55,13,101,3061,8.615384615384615,9.219865354752384,30.673267326732674,20.857892069952893,4.556492411467116,3.397174413022447,1
56,634,350,7743,1.1277602523659307,1.4410889128793931,22.245714285714286,26.441248542566893,4.666238317757009,4.759170229179395,1
57,888,344,6265,0.8063063063063063,1.0115797367652757,18.313953488372093,16.567874228848822,4.86652329749104,5.834131843226769,1
58,99,167,4022,2.505050505050505,3.2204326749073413,24.227544910179642,21.209724536886792,4.782184799468203,3.6998777582610987,1
59,47,111,2268,3.148936170212766,2.296887101628612,20.47747747747748,19.877483683827894,4.551296941540844,3.5909160327170997,1
60,41,113,2443,3.5121951219512195,2.4307175616197063,21.654867256637168,33.44359137029756,4.518932564010098,3.531337021772025,1
61,1780,1339,34058,1.5904494382022472,2.5378524983976667,25.471994025392085,23.30637743426151,4.4654256022423775,4.335583939595968,2
62,413,361,8067,1.7893462469733656,1.7719041641115474,22.373961218836566,18.97662326572178,4.200044652824291,3.326799579688871,2
63,345,263,5822,1.3942028985507247,2.050371762541925,22.171102661596958,19.627064845501902,4.0822023442319555,3.3539682995657145,2
64,1069,850,16346,1.6950420954162768,1.2597918529374241,19.24,15.719341402159541,4.048264409685022,3.305036330684345,2
65,1050,1000,18933,1.8761904761904762,1.7043095968203836,18.94,15.746186839993994,4.126339644020584,3.419782339056518,2
66,688,660,15236,1.885174418604651,2.1424315065541357,23.087878787878786,18.643989324302392,4.134383417261975,3.245133736083186,2
67,28,366,4204,13.678571428571429,41.09488460643644,11.71584699453552,10.502204828026036,4.60519871915615,5.881489498912235,2
68,11,454,5776,41.90909090909091,67.10433470005637,13.224669603524228,14.699417389368648,4.202736466389054,5.756971172453515,2
69,27,733,7486,27.88888888888889,52.28010976024448,10.51568894952251,10.624758697337299,4.5005435964340075,5.010355630538428,2
70,76,704,8881,10.105263157894736,19.514218127849094,13.032670454545455,12.682992850325185,4.388783987915408,4.448715270114198,2
71,2145,1416,29124,1.4881118881118882,1.393281724623928,20.6045197740113,23.09496684769079,4.387008801289203,3.802254759648185,2
72,526,349,9421,1.435361216730038,1.1998909023354019,27.12893982808023,30.139560657731536,4.855431001159644,4.111930805537691,2
73,598,570,12594,1.7876254180602007,2.5208257751747465,22.49122807017544,22.26532415877551,4.80041928721174,4.105100690123214,2
74,497,1485,19013,3.8249496981891347,10.921502485773901,13.034343434343434,13.895891127433575,4.535928542860952,4.806446578349934,2
75,216,1614,26052,8.078703703703704,65.1738296019674,16.19826517967782,14.171558055101412,3.7324711748208164,3.810550478974804,2
76,1338,2035,38714,2.4334828101644246,4.201268579335708,19.07076167076167,15.1172292210437,4.104229295270441,3.392007679999341,2
77,1724,2198,44162,2.1885150812064964,2.9265696800178764,20.141037306642403,16.134363578894874,4.150421351180396,3.4530547892858814,2
78,121,165,2401,2.2148760330578514,3.809962173236331,14.618181818181819,14.497846330036968,4.304980007270084,3.4091587557625047,2
79,95,121,2035,2.094736842105263,2.4797015279242838,16.85123966942149,15.645167266405247,4.474436741767764,3.811383328965196,2
80,96,139,2281,2.2604166666666665,3.4072373696376883,16.47482014388489,14.4158839929637,4.4400308522946395,3.6133469852213342,2
81,62,146,1959,2.870967741935484,3.629999871002139,13.5,11.510715674642727,3.986200551977921,3.3004687309325536,2
82,3006,395,15092,0.501996007984032,0.7257932141718394,38.25316455696203,68.28915964798965,4.903463070793748,4.573028861913845,2
83,1010,1127,20207,2.0425742574257426,2.016557528137448,17.942324755989354,14.180333404580967,4.281052118850463,3.5478221034095365,2
84,1599,314,6482,0.4646654158849281,0.7203612445850514,20.678343949044585,19.69905044260504,5.295792079207921,7.22655869762602,2
85,116,413,7114,4.4655172413793105,6.36454488781508,17.476997578692494,14.462528310288699,4.121546961325967,3.0912447153509848,2
86,1047,1212,23833,2.038204393505253,2.480963207645053,19.985973597359735,16.743127291842885,4.571802347312551,3.5913966521313947,2
87,40,4,195,0.725,0.7066647012551285,48.75,65.43460475925563,2.6439024390243904,2.5595396671188797,2
88,27,9,250,0.8888888888888888,0.9558139185602919,27.88888888888889,38.91142204330367,3.1222222222222222,3.1651848384775882,2
89,53,4,288,0.8490566037735849,0.5954616542663961,72.0,105.68585525035978,2.751677852348993,2.603317553715381,2
90,34,4,174,0.9705882352941176,0.6176470588235293,43.5,56.349356695529366,3.3260869565217392,3.264128805976226,2
91,51,6,335,0.9607843137254902,0.6249951941376168,55.833333333333336,69.51119014630346,3.0568181818181817,3.4323261213506195,2
92,56,19,400,1.0714285714285714,1.7713709668053208,21.31578947368421,45.210679492418656,2.9400921658986174,2.718956493853585,2
93,55,138,1721,3.418181818181818,6.210521597450304,12.521739130434783,8.803175803186152,3.8134556574923546,3.7221082865987767,2
94,54,120,1520,3.0925925925925926,5.200671318911872,12.683333333333334,8.845887305534829,3.8877790834312576,3.340592294364177,2
95,53,161,1977,3.943396226415094,6.5312459279456405,12.304347826086957,9.722256900177772,3.8482142857142856,3.406427279603146,2
96,36,121,1597,4.305555555555555,5.801433943644375,13.231404958677686,9.859140433739993,3.9254066180594505,4.997423850097378,2
97,84,245,2955,3.8095238095238093,6.093470725910509,12.06530612244898,7.6304853409820605,3.976183298160989,3.9426518501973455,2
98,6787,1190,27691,0.4884337704434949,1.3466416189055825,23.281512605042018,27.339457945197747,4.36149975653303,6.155540438891643,2
99,3593,1786,37914,0.725020873921514,2.121702144463995,21.251959686450167,21.542434725907547,4.170902264460871,4.920311397175008,2
100,10,54,1193,6.0,7.58946638440411,22.09259259259259,32.41585604157467,3.8858654572940288,3.355230310113045,2
101,34,42,909,1.7647058823529411,2.4260694855648564,21.642857142857142,30.09890160040762,3.644422310756972,3.2101151704122697,2
102,49,36,674,0.8571428571428571,2.0995626366712954,18.72222222222222,22.115368099419907,3.708219178082192,3.351722248956907,2
103,42,55,1495,2.142857142857143,1.5208304212067916,27.2,30.553916576796144,3.7560679611650487,3.3248420759989092,2
104,86,56,1414,1.3488372093023255,1.3274161109609615,25.267857142857142,24.295422166846702,4.050446998722861,3.4310406628422814,2
105,41,686,11834,17.170731707317074,38.11593510883213,17.316326530612244,13.99751941491523,4.053934105611554,3.161877167407832,2
106,334,453,8338,2.305389221556886,2.4694846000378186,18.50110375275938,13.682722177949401,4.4284204965662965,3.4435413853667582,2
107,1933,966,24893,1.133988618727367,0.9888925146130073,25.785714285714285,29.305534120364673,4.408749319295698,3.5339850498684577,2
108,1867,994,23660,1.1735404392072843,1.0815125836086843,23.809859154929576,26.190469786279856,4.459889586902722,3.6309161399324354,2
109,1832,956,21716,1.0796943231441047,1.0768415294217735,22.725941422594143,24.91236096230612,4.486663082585501,3.6615586374661415,2
110,16,4,132,0.6875,0.6817945071647321,33.0,26.372333988481188,4.2875,3.6714906713758646,2
111,27,38,913,2.3703703703703702,1.9273499009270647,24.026315789473685,15.467260571429174,3.964929859719439,2.8287410799302135,2
112,1,423,5244,423.0,0.0,12.437352245862884,33.96577647044138,6.534684871052269,9.706491328015066,2
113,389,940,13611,3.159383033419023,3.197893848961173,14.514893617021277,17.56213260354298,5.026784594153807,4.275231455798138,2
114,183,1029,15468,6.469945355191257,11.944220245155124,15.423712342079689,14.800561457413291,4.737316550321553,4.416379145832254,2
115,1,66,52,66.0,0.0,1.3484848484848484,2.9873086308299377,1.4262086513994912,2.389070773872441,2
116,426,1414,21377,4.124413145539906,9.136729531595872,15.444837340876944,14.142865647948376,4.745669164450891,4.195601296298079,2
117,2,68,100,34.5,29.5,2.014705882352941,5.854843764075186,3.191219512195122,17.26766387169847,2
118,591,1547,28077,3.4653130287648053,7.150667489471944,18.488687782805428,15.859078669185761,4.732634091194574,4.56789987747986,2
119,867,928,20012,2.013840830449827,3.0712105728799437,21.68426724137931,23.573173181810223,4.52671431002212,4.0257288039748005,2
120,2419,99,5146,0.24638280281107897,0.5001677476046836,52.15151515151515,91.65662354199208,6.366852561868247,12.170743962544945,2
121,899,3993,109788,4.775305895439377,28.426878892939666,27.522163786626596,23.694378307145023,4.485510296593706,3.7103667636909385,2
122,154,1033,16716,7.37012987012987,11.027681402996318,16.192642787996128,17.666279978862757,4.006863243518048,3.906443216022263,2
123,75,2505,47308,33.986666666666665,113.64723118297056,18.893413173652693,15.955508766784352,4.117165705783894,4.0931406717737,2
124,1,1,21,1.0,0.0,21.0,0.0,4.666666666666667,2.965409043226717,2
125,1,1,23,1.0,0.0,23.0,0.0,4.608695652173913,2.8397662248361617,2
126,266,2106,32173,8.533834586466165,21.97351408824206,15.298670465337132,15.313674011079698,3.5885745978924017,3.1154976114593063,2
127,3465,1380,20534,0.9797979797979798,2.172541875022454,14.905072463768116,21.246663241737338,3.7149276676258425,3.5217146055507773,2
128,1753,2437,33674,2.1791215059897318,2.102853824753994,13.823553549446041,13.924824958086957,3.8024795568451597,3.1745366773506145,2
129,1095,3393,50472,3.989041095890411,8.519109247343536,14.881815502505157,14.600602840491826,3.7860580300688493,3.2010600413347596,2
130,259,155,4384,1.4864864864864864,0.7265051018023192,28.329032258064515,19.56893841465037,3.652164948453608,2.7503027862566287,2
131,221,111,3999,1.3981900452488687,0.6200250907859055,36.0990990990991,29.126612380054212,3.678166137085792,2.776990258151654,2
132,295,117,4481,1.3491525423728814,0.6135124993839294,38.36752136752137,32.64824134753893,3.891532258064516,3.311503786741694,2
133,185,91,3511,1.4162162162162162,0.6696160713276508,38.65934065934066,39.01879507104287,3.880995592429349,3.04262250667994,3
134,1,233,7630,233.0,0.0,32.99570815450644,22.04861928741457,4.78190719928786,3.700158004298108,3
135,496,258,7677,1.4899193548387097,0.6719458935204073,29.794573643410853,24.791855408292097,3.9406998590887743,3.0577856766530815,3
136,248,100,4002,1.3266129032258065,0.5838704107999483,40.11,27.145863404946247,3.8958810068649887,3.1395326015336025,3
137,1,1145,28604,1145.0,0.0,25.060262008733623,21.814158334931985,4.084480833643468,3.0702899102563275,3
138,202,151,3617,1.599009900990099,0.8969690491591642,24.039735099337747,17.979709238491278,3.847102342786683,3.046341763283377,3
139,345,157,5337,1.4057971014492754,0.6023827224775165,34.02547770700637,29.033244517142386,3.739115703879383,3.009281429511271,3
140,260,654,15895,3.4653846153846155,2.9695172241256147,24.46177370030581,20.30962714212529,4.144228071159998,3.237406010966619,3
141,743,1722,30457,2.9125168236877523,5.997679406950616,17.687572590011616,18.493774481491247,1.577130259243519,2.172344999605765,3
142,1827,2648,63669,2.1877394636015324,5.895022408573465,24.04607250755287,24.41988859301051,4.143035506361966,4.066075347303775,3
143,152,539,18076,4.4868421052631575,4.2611878164014545,33.714285714285715,25.063259482383003,4.582042427232363,3.7650999291182567,3
