CNCADC,CNCAdd,CNCAll,CNCCaus,CNCLogic,CNCTemp,CRFANP1,CRFANPa,CRFAO1,CRFAOa,CRFCWO1,CRFCWO1d,CRFCWOa,CRFCWOad,CRFNO1,CRFNOa,CRFSO1,CRFSOa,DESPC,DESPL,DESPLd,DESSC,DESSL,DESSLd,DESWC,DESWLlt,DESWLltd,DESWLsy,DESWLsyd,DRNEG,DRNP,DRVP,LDTTRa,LDTTRcw,RDFHGL,SYNLE,SYNNP,WRDADJ,WRDADV,WRDNOUN,WRDPRO,WRDPRP1p,WRDPRP1s,WRDPRP2p,WRDPRP2s,WRDPRP3p,WRDPRP3s,WRDVERB,category,filename,grade,id
1.927353595255745,1.0378057820607858,61.08228317272054,4.892512972572276,51.29725722757598,1.927353595255745,0.08673469387755102,0.0302460790785222,0.24489795918367346,0.0744694036970953,0.2108843537414966,0.407936444913332,0.0580622101285307,0.23386104823916495,0.17346938775510204,0.17346938775510204,0.2108843537414966,0.0580622101285307,514.0,1.1459143968871595,0.868892156841541,589.0,15.595925297113752,14.976485826427718,6745.0,5.085544848035582,3.1813401613225065,2.030837657524092,1.1802416964990383,1.3343217197924389,162.9355077835434,20.01482579688658,0.21690140845070421,0.4005582693649686,189.7136536024295,10.265486725663717,0.3093721565059145,60.93402520385471,16.901408450704224,233.95107487027428,52.63157894736842,31.72720533728688,3.7064492216456633,0.0,2.223869532987398,49.07338769458858,58.56189770200148,113.12083024462565,Comunicación,Ruta_castellano_inicial.txt,1,1.0
1.2825994014536126,1.2825994014536126,64.5575032064985,8.97819581017529,51.30397605814451,1.7101325352714833,0.013100436681222707,0.005897920604914934,0.09170305676855896,0.0658601134215501,0.06550218340611354,0.24740987727886976,0.05283553875236295,0.2237050392751815,0.06550218340611354,0.06550218340611354,0.06550218340611354,0.05283553875236295,158.0,1.4556962025316456,2.3183225513312196,230.0,13.943478260869565,13.019761771912476,2339.0,5.177426250534417,3.316519608151923,2.0914920906370242,1.191465427237633,3.4202650705429667,166.73792218896966,17.52885848653271,0.3467293715262933,0.6137724550898204,191.36275691953085,7.195744680851064,0.3641025641025641,77.38349722103463,22.659256092347157,232.15049166310388,40.61564771269773,7.268063274903805,0.8550662676357417,0.0,0.0,29.07225309961522,69.68790081231295,96.19495510902094,Comunicación,abecedario.txt,1,2.0
1.993024414549078,0.996512207274539,66.5171898355755,6.22820129546587,55.05729945191828,2.242152466367713,0.026515151515151516,0.01661801352794589,0.23106060606060605,0.10026343894624422,0.2196969696969697,0.4140413158163548,0.07676753292986828,0.26622223576878373,0.2159090909090909,0.2159090909090909,0.2196969696969697,0.07676753292986828,154.0,1.7207792207792207,2.7409751635796398,265.0,19.158490566037734,17.993011578002648,4014.0,5.358993522670652,3.5049147049033347,2.1674140508221225,1.2921033552620724,2.242152466367713,141.2556053811659,21.674140508221228,0.27977080219232686,0.529236276849642,185.99789119214824,10.089605734767025,0.5661375661375662,91.42999501743897,16.442451420029897,231.19083208769308,34.130543099152966,0.4982561036372695,1.7438963627304436,0.0,0.0,28.15146985550573,52.81514698555057,78.47533632286996,Comunicación,aguita-vida.txt,1,3.0
2.6954177897574128,2.6954177897574128,72.77628032345014,2.6954177897574128,37.73584905660377,26.954177897574127,0.0,0.003915984336062656,0.019230769230769232,0.029547881808472766,0.019230769230769232,0.13733516208736252,0.027767888928444288,0.16430713092529453,0.0,0.0,0.019230769230769232,0.027767888928444288,210.0,0.2523809523809524,0.5417072198320237,53.0,9.39622641509434,6.452554335933186,371.0,5.347708894878706,2.731539633065907,2.059299191374663,0.9968892556911995,13.477088948787063,191.3746630727763,0.0,0.6064690026954178,0.7606837606837606,196.020269541779,8.90566037735849,0.11267605633802817,26.954177897574127,61.99460916442048,212.93800539083557,37.73584905660377,2.6954177897574128,2.6954177897574128,0.0,0.0,75.47169811320754,13.477088948787063,13.477088948787063,Comunicación,antes-muy-antes.txt,1,4.0
2.023546725533481,1.6556291390728477,59.234731420161886,5.886681383370125,48.74908020603385,0.919793966151582,0.038202247191011236,0.00974280600856643,0.1752808988764045,0.0461300247340586,0.14606741573033707,0.35317378978655534,0.030138349856220718,0.17096792016096107,0.14157303370786517,0.14157303370786517,0.14606741573033707,0.030138349856220718,309.0,1.4433656957928802,1.4880961313168077,446.0,17.809417040358746,33.775399027706335,5436.0,5.176784400294334,3.277431641723917,2.0986019131714495,1.2314218657136289,3.679175864606328,161.6997792494481,17.108167770419428,0.3055555555555556,0.5617059891107078,187.4152334709312,11.818380743982495,0.43686006825938567,83.51729212656366,18.579838116261957,224.0618101545254,38.44738778513613,1.287711552612215,8.462104488594555,0.36791758646063283,5.334805003679175,21.155261221486388,59.4186902133922,79.28623988226637,Comunicación,antologia-de-poesia-para-ninos-y-ninas.txt,1,5.0
2.99792451379814,1.768006764547621,62.341455915135676,5.457760012299177,51.19532631255285,0.9224383119378892,0.022509848058525603,0.0045310702866303695,0.1108610016882386,0.036719257111983615,0.09285312324141812,0.29022649904123526,0.03197340068149524,0.1759292537651309,0.08666291502532358,0.08666291502532358,0.09285312324141812,0.03197340068149524,1863.0,0.9543746645195921,0.8062829787399574,1778.0,10.484251968503937,14.622433322602967,13009.0,4.761857175801368,3.317959913152903,1.9298946882927204,1.171183455364303,4.150972403720501,171.41978630179105,23.137827657775386,0.20516565454685218,0.40779014308426076,194.98812617915036,7.760326086956522,0.3008968609865471,61.41901760319778,20.447382581289876,216.311784149435,56.72995618418018,10.838650165270197,12.452917211161504,0.4612191559689446,5.38089015297102,36.20570374356215,60.72718886924437,88.63094780536551,Comunicación,aprendemos-jugando-2018-4.txt,1,6.0
2.1811949832515385,1.635896237438654,61.93035756017761,4.284490145672665,53.517176910493106,0.3115992833216483,0.007776049766718507,0.001251750479470129,0.057153965785381025,0.009856307745430778,0.049766718506998445,0.21746262261833327,0.00806606439045552,0.08944832584070263,0.046267496111975115,0.046267496111975115,0.049766718506998445,0.00806606439045552,2461.0,1.0455099553027225,0.7403456601259497,2573.0,7.469490866692577,11.2928865591379,12837.0,4.743086390901301,3.3777368761797546,1.9280205655526992,1.1868213468955493,2.4148944457427746,183.14247877229883,17.91695879099478,0.18859546623042767,0.40593627237014407,198.06430697664194,5.475675675675675,0.28328370905997446,60.83976006855185,15.26836488276077,205.0323284256446,44.94819661914778,6.231985666432967,13.710368466152529,0.15579964166082416,5.141388174807197,31.23782815299525,47.75259016904261,75.79652566799096,Comunicación,aprendemos-jugando-2018-5.txt,1,7.0
2.035105571101501,1.5263291783261257,64.10582548969727,5.087763927753753,53.93029763418977,1.5263291783261257,0.03745318352059925,0.01353308086433504,0.2546816479400749,0.09528848295834262,0.23595505617977527,0.424594238824521,0.07270550233905101,0.2596524836558997,0.23595505617977527,0.23595505617977527,0.23595505617977527,0.07270550233905101,161.0,1.6645962732919255,2.672482502319427,268.0,18.582089552238806,17.63595314676713,3931.0,5.338590689392012,3.5243938875849135,2.1617908929025695,1.3021225058056785,1.7807173747138134,133.8081912999237,17.04400915797507,0.2688883235817858,0.5048899755501223,186.5891941209749,9.932624113475176,0.6140684410646388,96.92190282370898,15.008903586873569,228.69498855253119,33.57924192317476,1.2719409819384382,2.2894937674891884,0.0,1.2719409819384382,21.36860849656576,59.018061561943526,75.55329432714322,Comunicación,cancion-amor.txt,1,8.0
2.3771790808240887,2.3771790808240887,49.52456418383518,2.3771790808240887,41.996830427892235,0.39619651347068147,0.09602649006622517,0.016174884815214195,0.25496688741721857,0.031478395364288904,0.20198675496688742,0.4014823853979574,0.013702360335043405,0.11625233613262156,0.19205298013245034,0.19205298013245034,0.20198675496688742,0.013702360335043405,279.0,1.086021505376344,0.9156846819803771,303.0,12.372937293729374,8.992636901099244,2524.0,4.440174326465927,2.5342320613486002,1.807052297939778,0.9581236758620949,5.546751188589541,215.9270998415214,14.659270998415213,0.2987321711568938,0.5067698259187621,193.13537258163217,8.30921052631579,0.14311926605504588,46.354992076069735,34.86529318541997,212.36133122028525,73.29635499207606,4.3581616481774965,30.11093502377179,0.0,13.47068145800317,34.86529318541997,96.67194928684627,116.08557844690966,Comunicación,cancionero-bebetecas.txt,1,9.0
2.7937068078223795,1.6174092045287458,74.98897220996912,7.498897220996913,62.490810174974264,0.5881488016468167,0.035175879396984924,0.00869005319509012,0.1507537688442211,0.03996322470242078,0.1457286432160804,0.35283396344807955,0.0328647736414314,0.17828258550663015,0.12562814070351758,0.12562814070351758,0.1457286432160804,0.0328647736414314,616.0,1.2938311688311688,1.0458766893941724,797.0,11.191969887076537,13.479182732489981,6801.0,5.1549772092339365,3.2405553450741538,2.0619026613733276,1.1805747119213368,3.9700044111160118,171.15130127922365,24.40817526834289,0.24893398029701513,0.4289052069425901,194.18704911835795,6.333333333333333,0.3238831615120275,66.75488898691368,21.467431260108807,243.7876782826055,42.64078811939421,19.261873253933246,2.0585208057638584,0.0,0.5881488016468167,41.02337891486546,56.90339655932951,108.51345390383767,Comunicación,capacidades_comunica_ama.txt,1,10.0
